peak_id	molecularFormula	adduct	ionMass
96	C59H75NO3	[M + H]+	846.587
120	C44H77ClO12	[M + H]+	833.52
121	C43H76O15	[M + H]+	833.52
143	C41H75N5O11	[M + H]+	814.56
157	C41H74O15	[M + H]+	807.504
196	C55H67NO3	[M + H]+	790.52
203	C42H78NO10P	[M + H]+	788.545
204	C42H77NO12	[M + H]+	788.544
208	C42H76NO10P	[M + H]+	786.529
219	C43H76ClN5O5	[M + H]+	778.564
228	C49H74O7	[M + H]+	775.55
231	C49H72O7	[M + H]+	773.535
236	C45H66N6O5	[M + H]+	771.52
259	C41H79ClN2O8	[M + H]+	763.56
260	C43H76N6O2S	[M + Na]+	763.56
267	C43H74N6O2S	[M + Na]+	761.55
271	C40H74NO10P	[M + H]+	760.513
272	C40H74NO10P	[M + H]+	760.516
278	C36H67N7O10	[M + H]+	758.5
295	C47H70O7	[M + H]+	747.518
302	C47H68O7	[M + H]+	745.5
309	C39H78NO8P	[M + Na]+	742.539
325	C42H74NO7P	[M + H]+	736.527
335	C35H65N5O11	[M + H]+	732.482
352	C42H76ClNO6	[M + H]+	726.545
375	C39H74NO8P	[M + H]+	716.523
380	C39H72NO8P	[M + H]+	714.508
381	C34H71N3O12	[M + H]+	714.507
399	C39H74NO7P	[M + H]+	700.53
400	C39H74NO7P	[M + H]+	700.529
446	C39H65N3O6	[M + H]+	672.498
464	C19H30N5O15P3	[M + H]+	662.102
533	C20H32N6O12S2	[M + H]+	613.161
538	C29H30N4O5S3	[M + H]+	611.145
546	C25H21N5O8S2	[M + Na]+	606.075
557	C34H46O9	[M + H]+	599.32
560	C34H44O9	[M + H]+	597.305
578	C27H52NO10P	[M + H]+	582.341
582	C17H20Cl2N2O16	[M + H]+	579.03
597	C25H20Cl2N4O4S	[M + Na]+	565.048
628	C34H65NO3	[M + H]+	536.503
635	C34H63NO3	[M + H]+	534.49
662	C27H35N7O4	[M + H]+	522.28
688	C10H14N5O13P3	[M + H]+	505.988
725	C9H13N2O15P3	[M + H]+	482.96
736	C28H41NO4	[M + Na]+	478.294
737	C28H41NO4	[M + Na]+	478.294
758	C20H28O11	[M + Na]+	467.15
796	C26H37NO4	[M + Na]+	450.263
797	C28H35NO4	[M + H]+	450.263
819	C26H39NO3	[M + Na]+	436.283
820	C26H39NO3	[M + Na]+	436.283
836	C8H18N3O11P3	[M + H]+	426.022
837	C12H18BrN5O4Si	[M + Na]+	426.02
874	C9H12N2O12P2	[M + H]+	402.995
937	C13H19N3O8S	[M + H]+	378.1
941	C14H21N3O9	[M + H]+	376.134
1033	C14H15N3O4S2	[M + H]+	354.06
1091	C6H12O12P2	[M + H]+	338.99
1094	C10H15N3O8S	[M + H]+	338.066
1121	C10H17ClO10	[M + H]+	333.06
1168	C11H16N2O9	[M + H]+	321.09
1171	C12H9N5O6	[M + H]+	320.062
1177	C11H15N3O6S	[M + H]+	318.076
1178	C10H12ClN5O5	[M + H]+	318.06
1224	C11H17NO9	[M + H]+	308.099
1236	C10H15N3O6S	[M + H]+	306.076
1275	C9H14ClNO8	[M + H]+	300.049
1291	C10H19NO9	[M + H]+	298.114
1304	C8H12N2O8S	[M + H]+	297.04
1330	C10H16N2O8	[M + H]+	293.099
1353	C13H12O6	[M + Na]+	287.05
1354	C10H10N2O8	[M + H]+	287.05
1366	C11H10F2N4O3	[M + H]+	285.08
1405	C13H14N2O3S	[M + H]+	279.08
1431	C8H7ClN4O5	[M + H]+	275.02
1441	C10H13N3O6	[M + H]+	272.09
1467	C10H10N4O5	[M + H]+	267.073
1490	C7H11F3N2O5	[M + H]+	261.07
1501	C11H9ClN2O2	[M + Na]+	259.023
1506	C7H12ClNO7	[M + H]+	258.04
1583	C7H13ClO7	[M + H]+	245.043
1593	C12H22N2O3	[M + H]+	243.171
1594	C12H22N2O3	[M + H]+	243.17
1595	C7H15FN2O6	[M + H]+	243.1
1596	C9H10N2O6	[M + H]+	243.062
1597	C9H10N2O6	[M + H]+	243.06
1607	C6H12FN3O6	[M + H]+	242.08
1660	C6H13ClN4O2	[M + Na]+	231.062
1662	C9H4O6	[M + Na]+	230.99
1670	C11H20N2O3	[M + H]+	229.156
1679	C6H9ClO7	[M + H]+	229.01
1739	C9H16N2O4	[M + H]+	217.12
1743	C8H12N2O5	[M + H]+	217.083
1750	C4H9FN2O5S	[M + H]+	217.03
1751	C12H5FO3	[M + H]+	217.03
1822	C11H10N2O2	[M + H]+	203.083
1831	C9H15NO4	[M + H]+	202.109
1879	C6H10O7	[M + H]+	195.05
1880	C6H10O7	[M + H]+	195.05
1881	C6H10O7	[M + H]+	195.05
1917	C6H6O7	[M + H]+	191.02
1921	C7H11NO3S	[M + H]+	190.054
1922	C7H11NO3S	[M + H]+	190.054
1950	C7H10N2O4	[M + H]+	187.072
1974	C4H6ClNO5	[M + H]+	184
1992	C6H12O6	[M + H]+	181.072
2019	C9H7NO3	[M + H]+	178.051
2034	C4H6F3N3	[M + Na]+	176.04
2035	C2H8F2N3O2P	[M + H]+	176.04
2038	C6H10N2O4	[M + H]+	175.072
2058	C6H12N4O2	[M + H]+	173.104
2064	C6H4O6	[M + H]+	173.009
2065	C6H4O6	[M + H]+	173.01
2088	C4H5ClO5	[M + H]+	168.991
2089	C3H4N3O2S	[M + Na]+	168.99
2115	C6H10FNO3	[M + H]+	164.072
2116	C3H6F3N3	[M + Na]+	164.04
2117	C3H6FN5S	[M + H]+	164.04
2146	C6H9NO4	[M + H]+	160.06
2147	C6H9NO4	[M + H]+	160.06
2171	C6H7N3O2	[M + H]+	154.062
2242	C9H14	[M + Na]+	145.098
2245	C5H8N2O3	[M + H]+	145.062
2320	C4H5NO2S	[M + H]+	132.012
2328	C4H6N2O3	[M + H]+	131.046
2335	C5H7NO3	[M + H]+	130.05
2336	C5H7NO3	[M + H]+	130.05
2338	C5H7NO3	[M + H]+	130.05
2404	C4H7NO3	[M + H]+	118.051
2723	C47H93N2O6P	[M + H]+	813.68
2729	C46H86NO8P	[M + H]+	812.62
2732	C11H14I4NO7P	[M + H]+	811.67
2771	C45H75N7O5	[M + H]+	794.589
2774	C42H79O10P	[M + H3N + H]+	792.574
2788	C42H80NO10P	[M + H]+	790.558
2799	C42H78NO10P	[M + H]+	788.54
2802	C45H91N2O6P	[M + H]+	787.67
2806	C44H84NO8P	[M + H]+	786.6
2808	C45H89N2O6P	[M + H]+	785.65
2846	C49H74O7	[M + H]+	775.547
2860	C44H86NO7P	[M + H]+	772.619
2890	C42H77O10	[M + Na]+	764.544
2910	C42H82NO8P	[M + H]+	760.584
2920	C42H80NO8P	[M + H]+	758.57
2930	C42H78NO8P	[M + H]+	756.55
2979	C41H78NO8P	[M + H]+	744.55
3024	C40H78NO8P	[M + H]+	732.553
3025	C41H83N2O6P	[M + H]+	731.61
3026	C41H83N2O6P	[M + H]+	731.61
3161	C38H74NO8P	[M + H]+	704.52
3162	C38H74NO8P	[M + H]+	704.52
3167	C39H79N2O6P	[M + H]+	703.58
3168	C39H79N2O6P	[M + H]+	703.58
3169	C47H74O4	[M + H]+	703.57
3175	C46H71NO4	[M + H]+	702.539
3179	C39H77N2O6P	[M + H]+	701.56
3180	C39H77N2O6P	[M + H]+	701.56
3267	C36H72NO8P	[M + H]+	678.512
3289	C37H75N2O6P	[M + H]+	675.54
3290	C37H75N2O6P	[M + H]+	675.544
3299	C39H67N3O6	[M + H]+	674.511
3327	C19H32N5O15P3	[M + H]+	664.116
3484	C26H30N8O6S2	[M + H]+	615.175
3513	C15H27N7O13P2S	[M + H]+	608.089
3520	C39H72O4	[M + H]+	605.55
3549	C19H26N3O13P3	[M + H]+	598.07
3566	C29H52N8O5	[M + H]+	593.415
3619	C37H68O4	[M + H]+	577.518
3652	C32H55NO7	[M + H]+	566.405
3696	C26H39N3O6S2	[M + H]+	554.239
3761	C34H67NO3	[M + H]+	538.52
3850	C26H52NO7P	[M + H]+	522.356
3851	C26H52NO7P	[M + H]+	522.356
3928	C9H20NO17P3	[M + H]+	508.003
3998	C24H50NO7P	[M + H]+	496.34
3999	C24H50NO7P	[M + H]+	496.34
4005	C24H48NO7P	[M + H]+	494.324
4006	C24H48NO7P	[M + H]+	494.32
4041	C9H15N2O15P3	[M + H]+	484.98
4062	C24H52NO6P	[M + H]+	482.36
4076	C23H46NO7P	[M + H]+	480.309
4077	C23H46NO7P	[M + H]+	480.309
4125	C22H46NO7P	[M + H]+	468.309
4162	C22H27N3O6S	[M + H]+	462.17
4185	C19H25N3O6S2	[M + H]+	456.126
4203	C21H42NO7P	[M + H]+	452.277
4204	C21H42NO7P	[M + H]+	452.277
4278	C21H44NO6P	[M + H]+	438.298
4331	C17H15Cl2N3O6	[M + H]+	428.037
4352	C14H21N3O10S	[M + H]+	424.102
4430	C9H14N2O12P2	[M + H]+	405.009
4431	C17H8O12	[M + H]+	405.009
4438	C17H14BrN3O4	[M + H]+	404.025
4469	C15H22N6O5S	[M + H]+	399.145
4514	C19H18O9	[M + H]+	391.1
4546	C14H20N6O5S	[M + H]+	385.129
4584	C13H21N3O8S	[M + H]+	380.11
4597	C16H28N2O6S	[M + H]+	377.173
4656	C17H22N2O7	[M + H]+	367.15
4658	C13H22N2O10	[M + H]+	367.135
4660	C13H14F2N4O3S	[M + Na]+	367.066
4697	C18H24N4O4	[M + H]+	361.18
4713	C15H23ClN4O4	[M + H]+	359.15
4726	C15H29NO5S	[M + Na]+	358.164
4742	C20H37NO2S	[M + H]+	356.262
4761	C19H23NO4	[M + Na]+	352.152
4777	C13H23N3O8	[M + H]+	350.156
4788	C16H13NO8	[M + H]+	348.07
4830	C13H30N2O6S	[M + H]+	343.19
4864	C13H14ClN5O4	[M + H]+	340.081
4868	C21H38O3	[M + H]+	339.289
4889	C12H21N3O8	[M + H]+	336.14
4902	C11H20O10	[M + Na]+	335.095
4904	C14H16O8	[M + Na]+	335.074
4934	C16H30N2O3S	[M + H]+	331.205
4937	C11H20N2O8	[M + Na]+	331.111
4945	C18H35NO2S	[M + H]+	330.246
4989	C16H9N3O5	[M + H]+	324.059
5006	C11H15NO10	[M + H]+	322.077
5013	C14H29N3O5	[M + H]+	320.22
5014	C14H29N3O5	[M + H]+	320.218
5018	C11H17N3O6S	[M + H]+	320.091
5081	C19H34O3	[M + H]+	311.258
5086	C10H18N2O7S	[M + H]+	311.09
5100	C11H20N2O8	[M + H]+	309.129
5108	C10H17N3O6S	[M + H]+	308.091
5128	C11H16N2O8	[M + H]+	305.098
5169	C18H37NO2	[M + H]+	300.29
5216	C10H18N2O8	[M + H]+	295.114
5253	C10H18N4O6	[M + H]+	291.13
5266	C12H25N5O3	[M + H]+	288.203
5301	C10H13N5O5	[M + H]+	284.099
5320	C10H19NO8	[M + H]+	282.118
5347	C15H22N2O3	[M + H]+	279.17
5368	C10H16N2O7	[M + H]+	277.103
5377	C10H17N3O6	[M + H]+	276.12
5384	C10H18N4O5	[M + H]+	275.135
5390	C11H23N5O3	[M + H]+	274.187
5421	C11H14N2O4S	[M + H]+	271.075
5438	C9H16O9	[M + H]+	269.088
5449	C10H13N5O4	[M + H]+	268.104
5450	C9H17NO8	[M + H]+	268.103
5451	C9H17NO8	[M + H]+	268.102
5479	C9H17N3O4S	[M + H]+	264.1
5509	C11H20N2O5	[M + H]+	261.145
5549	C8H20NO6P	[M + H]+	258.11
5579	C9H14BN3O3S	[M + H]+	255.097
5597	C11H12N2O5	[M + H]+	253.08
5608	C9H17NO7	[M + H]+	252.11
5619	C9H18N2O6	[M + H]+	251.124
5630	C9H15NO7	[M + H]+	250.093
5640	C9H16N2O6	[M + H]+	249.108
5641	C8H12N2O7	[M + H]+	249.072
5649	C8H13N3O6	[M + H]+	248.09
5656	C9H18N4O4	[M + H]+	247.14
5660	C8H11ClN4O3	[M + H]+	247.06
5665	C11H23N3O3	[M + H]+	246.181
5666	C11H23N3O3	[M + H]+	246.18
5667	C12H23NO4	[M + H]+	246.17
5669	C9H19N5O3	[M + H]+	246.156
5682	C12H24N2O3	[M + H]+	245.186
5684	C10H16N2O5	[M + H]+	245.113
5711	C6H11O8P	[M + H]+	243.027
5808	C11H11N3O3	[M + H]+	234.088
5826	C8H12N2O4S	[M + H]+	233.06
5833	C11H22N2O3	[M + H]+	231.17
5862	C10H16N2O4	[M + H]+	229.12
5892	C15H31N	[M + H]+	226.253
5928	C7H14N2O4S	[M + H]+	223.075
5935	C8H15NO6	[M + H]+	222.097
5947	C11H12N2O3	[M + H]+	221.09
5963	C9H18N2O4	[M + H]+	219.134
5969	C8H14N2O5	[M + H]+	219.097
5981	C9H19N3O3	[M + H]+	218.15
5991	C8H16N4O3	[M + H]+	217.13
6086	C10H12N2O3	[M + H]+	209.092
6095	C9H23N2O3	[M + H]+	208.18
6109	C7H14N2O5	[M + H]+	207.098
6119	C8H15NO5	[M + H]+	206.102
6133	C10H9BFNO2	[M + H]+	205.08
6134	C6H14O6	[M + Na]+	205.068
6140	C9H17NO4	[M + H]+	204.123
6141	C8H13NO5	[M + H]+	204.087
6142	C8H13NO5	[M + H]+	204.087
6148	C8H18N4O2	[M + H]+	203.15
6149	C9H18N2O3	[M + H]+	203.14
6174	C10H21N3O	[M + H]+	200.176
6258	C6H10N2O5	[M + H]+	191.066
6261	C6H10N2O3S	[M + H]+	191.05
6268	C7H11NO5	[M + H]+	190.07
6269	C9H20N2O2	[M + H]+	189.16
6273	C8H16N2O3	[M + H]+	189.123
6280	C7H12N2O4	[M + H]+	189.087
6284	C9H21N3O	[M + H]+	188.176
6288	C11H9NO2	[M + H]+	188.071
6322	C9H16N2O2	[M + H]+	185.13
6331	C5H13ClN2O3	[M + H]+	185.07
6335	C10H21N3	[M + H]+	184.18
6360	C8H11N3O2	[M + H]+	182.092
6371	C6H13NO5	[M + H]+	180.087
6378	C5H10N2O3S	[M + H]+	179.05
6408	C6H14N4O2	[M + H]+	175.119
6412	C6H10N2O4	[M + H]+	175.07
6415	C8H19N3O	[M + H]+	174.16
6432	C7H12N2O3	[M + H]+	173.092
6439	C8H6O3	[M + Na]+	173.02
6504	C7H9N3O2	[M + H]+	168.077
6507	C5H10FNO4	[M + H]+	168.065
6524	C5H11NO3S	[M + H]+	166.053
6525	C5H11NO3S	[M + H]+	166.053
6621	C6H9N3O2	[M + H]+	156.077
6644	C5H5N5O	[M + H]+	152.057
6660	C5H11NO2S	[M + H]+	150.058
6668	C9H8O2	[M + H]+	149.06
6683	C5H9NO4	[M + H]+	148.06
6685	C5H9NO2S	[M + H]+	148.043
6696	C6H14N2O2	[M + H]+	147.113
6698	C5H10N2O3	[M + H]+	147.076
6708	C7H15NO2	[M + H]+	146.118
6709	C7H15NO2	[M + H]+	146.118
6710	C7H15NO2	[M + H]+	146.118
6714	C6H11NO3	[M + H]+	146.08
6715	C9H7NO	[M + H]+	146.06
6730	C7H10FNO	[M + H]+	144.081
6756	C8H16N2	[M + H]+	141.14
6795	C5H4N4O	[M + H]+	137.046
6796	C5H4N4O	[M + H]+	137.046
6804	C5H5N5	[M + H]+	136.062
6806	C5H5N5	[M + H]+	136.062
6829	C5H11NO3	[M + H]+	134.081
6835	C4H7NO4	[M + H]+	134.045
6838	C4H7NO2S	[M + H]+	134.027
6843	C5H12N2O2	[M + H]+	133.097
6849	C4H8N2O3	[M + H]+	133.061
6850	C5H8O2S	[M + H]+	133.032
6857	C6H13NO2	[M + H]+	132.102
6858	C9H9N	[M + H]+	132.08
6872	C6H14N2O	[M + H]+	131.118
6896	C5H7NO3	[M + H]+	130.05
6927	C6H9NO2	[M + H]+	128.07
6936	C5H10N4	[M + H]+	127.098
6938	C5H6N2O2	[M + H]+	127.05
7004	C5H10FNO	[M + H]+	120.081
7017	C8H6O	[M + H]+	119.05
7072	C5H5NO2	[M + H]+	112.04
7096	C7H6O	[M + H]+	107.05
